time1,angle1,time2,angle2,Time (s) Run #3,"Angle, Ch P1 (rad) Run #3",Time (s) Run #4,"Angle, Ch P1 (rad) Run #4",Time (s) Run #5,"Angle, Ch P1 (rad) Run #5",Time (s) Run #7,"Angle, Ch P1 (rad) Run #7",Time (s) 0.2,"Angle, Ch P1 (rad) 0.2",Time (s) 0.3,"Angle, Ch P1 (rad) 0.3",Time (s) 0.35,"Angle, Ch P1 (rad) 0.35",Time (s) 0.4,"Angle, Ch P1 (rad) 0.4",Time (s) 0.45,"Angle, Ch P1 (rad) 0.45",Time (s) 0.5,"Angle, Ch P1 (rad) 0.5",Time (s) 0.55,"Angle, Ch P1 (rad) 0.55",Time (s) 0,"Angle, Ch P1 (rad) 0",Time (s) 0.2,"Angle, Ch P1 (rad) 0.2",Time (s) 0.54,"Angle, Ch P1 (rad) 0.54",Time (s) 0.56,"Angle, Ch P1 (rad) 0.56",Time (s) 0.53,"Angle, Ch P1 (rad) 0.53",Time (s) 0.51,"Angle, Ch P1 (rad) 0.51",Time (s) 0.08,"Angle, Ch P1 (rad) 0.08",Time (s) 0.1,"Angle, Ch P1 (rad) 0.1",Time (s) 0.04,"Angle, Ch P1 (rad) 0.04"
0,-0.02513276,0,0.009424785,0,-0.010995583,0,0.023561963,0,-0.015707975,0,-0.026703558,0,0.00628319,0,0.026703558,0,-0.004712393,0,-0.036128343,0,-0.014137178,0,-0.023561963,0,0.00628319,0,-0.015707975,0,0.020420368,0,-0.014137178,0,-0.007853988,0,-0.039269938,0,0.048694723,0,-0.02513276,0,-0.015707975,0,0
0.01,-0.029845153,0.01,0.010995583,0.01,-0.01256638,0.01,0.026703558,0.01,-0.017278773,0.01,-0.029845153,0.01,0.009424785,0.01,0.03141595,0.01,-0.007853988,0.01,-0.040840735,0.01,-0.015707975,0.01,-0.028274355,0.01,0.00628319,0.01,-0.01884957,0.01,0.023561963,0.01,-0.015707975,0.01,-0.010995583,0.01,-0.04398233,0.01,0.054977913,0.01,-0.028274355,0.01,-0.01884957,0.01,0
0.02,-0.032986748,0.02,0.01256638,0.02,-0.014137178,0.02,0.03141595,0.02,-0.021991165,0.02,-0.03141595,0.02,0.010995583,0.02,0.034557545,0.02,-0.009424785,0.02,-0.045553128,0.02,-0.015707975,0.02,-0.032986748,0.02,0.004712393,0.02,-0.021991165,0.02,0.026703558,0.02,-0.01884957,0.02,-0.01256638,0.02,-0.05026552,0.02,0.061261103,0.02,-0.03141595,0.02,-0.021991165,0.02,-0.001570798
0.03,-0.036128343,0.03,0.015707975,0.03,-0.014137178,0.03,0.034557545,0.03,-0.02513276,0.03,-0.034557545,0.03,0.01256638,0.03,0.039269938,0.03,-0.01256638,0.03,-0.05026552,0.03,-0.015707975,0.03,-0.03769914,0.03,0.004712393,0.03,-0.023561963,0.03,0.029845153,0.03,-0.021991165,0.03,-0.015707975,0.03,-0.05654871,0.03,0.065973495,0.03,-0.034557545,0.03,-0.02513276,0.03,-0.003141595
0.04,-0.039269938,0.04,0.017278773,0.04,-0.015707975,0.04,0.039269938,0.04,-0.028274355,0.04,-0.036128343,0.04,0.015707975,0.04,0.04398233,0.04,-0.015707975,0.04,-0.054977913,0.04,-0.015707975,0.04,-0.042411533,0.04,0.003141595,0.04,-0.026703558,0.04,0.032986748,0.04,-0.02513276,0.04,-0.01884957,0.04,-0.0628319,0.04,0.072256685,0.04,-0.03769914,0.04,-0.028274355,0.04,-0.004712393
0.05,-0.042411533,0.05,0.020420368,0.05,-0.015707975,0.05,0.042411533,0.05,-0.03141595,0.05,-0.03769914,0.05,0.01884957,0.05,0.047123925,0.05,-0.01884957,0.05,-0.059690305,0.05,-0.015707975,0.05,-0.048694723,0.05,0.001570798,0.05,-0.029845153,0.05,0.036128343,0.05,-0.029845153,0.05,-0.021991165,0.05,-0.06911509,0.05,0.076969078,0.05,-0.039269938,0.05,-0.032986748,0.05,-0.00628319
0.06,-0.045553128,0.06,0.021991165,0.06,-0.017278773,0.06,0.047123925,0.06,-0.036128343,0.06,-0.039269938,0.06,0.021991165,0.06,0.051836318,0.06,-0.021991165,0.06,-0.064402698,0.06,-0.014137178,0.06,-0.053407115,0.06,-4.34E-19,0.06,-0.032986748,0.06,0.039269938,0.06,-0.032986748,0.06,-0.02513276,0.06,-0.076969078,0.06,0.08168147,0.06,-0.042411533,0.06,-0.036128343,0.06,-0.007853988
0.07,-0.048694723,0.07,0.02513276,0.07,-0.017278773,0.07,0.051836318,0.07,-0.040840735,0.07,-0.040840735,0.07,0.023561963,0.07,0.054977913,0.07,-0.026703558,0.07,-0.06911509,0.07,-0.014137178,0.07,-0.059690305,0.07,-0.001570798,0.07,-0.034557545,0.07,0.042411533,0.07,-0.036128343,0.07,-0.028274355,0.07,-0.083252268,0.07,0.086393863,0.07,-0.045553128,0.07,-0.039269938,0.07,-0.010995583
0.08,-0.051836318,0.08,0.028274355,0.08,-0.017278773,0.08,0.05654871,0.08,-0.04398233,0.08,-0.040840735,0.08,0.028274355,0.08,0.059690305,0.08,-0.029845153,0.08,-0.073827483,0.08,-0.01256638,0.08,-0.065973495,0.08,-0.004712393,0.08,-0.03769914,0.08,0.045553128,0.08,-0.040840735,0.08,-0.032986748,0.08,-0.089535458,0.08,0.091106255,0.08,-0.047123925,0.08,-0.04398233,0.08,-0.01256638
0.09,-0.054977913,0.09,0.03141595,0.09,-0.01884957,0.09,0.059690305,0.09,-0.048694723,0.09,-0.040840735,0.09,0.03141595,0.09,0.0628319,0.09,-0.034557545,0.09,-0.078539875,0.09,-0.010995583,0.09,-0.072256685,0.09,-0.00628319,0.09,-0.040840735,0.09,0.048694723,0.09,-0.04398233,0.09,-0.036128343,0.09,-0.095818648,0.09,0.095818648,0.09,-0.05026552,0.09,-0.047123925,0.09,-0.015707975
0.1,-0.058119508,0.1,0.034557545,0.1,-0.01884957,0.1,0.064402698,0.1,-0.053407115,0.1,-0.042411533,0.1,0.034557545,0.1,0.067544293,0.1,-0.039269938,0.1,-0.083252268,0.1,-0.007853988,0.1,-0.078539875,0.1,-0.009424785,0.1,-0.04398233,0.1,0.051836318,0.1,-0.048694723,0.1,-0.040840735,0.1,-0.102101838,0.1,0.098960243,0.1,-0.051836318,0.1,-0.051836318,0.1,-0.01884957
0.11,-0.061261103,0.11,0.03769914,0.11,-0.01884957,0.11,0.06911509,0.11,-0.058119508,0.11,-0.042411533,0.11,0.03769914,0.11,0.070685888,0.11,-0.04398233,0.11,-0.086393863,0.11,-0.00628319,0.11,-0.083252268,0.11,-0.01256638,0.11,-0.047123925,0.11,0.054977913,0.11,-0.053407115,0.11,-0.045553128,0.11,-0.108385028,0.11,0.102101838,0.11,-0.054977913,0.11,-0.05654871,0.11,-0.021991165
0.12,-0.064402698,0.12,0.042411533,0.12,-0.01884957,0.12,0.073827483,0.12,-0.064402698,0.12,-0.040840735,0.12,0.042411533,0.12,0.07539828,0.12,-0.05026552,0.12,-0.091106255,0.12,-0.003141595,0.12,-0.091106255,0.12,-0.015707975,0.12,-0.05026552,0.12,0.058119508,0.12,-0.05654871,0.12,-0.05026552,0.12,-0.114668218,0.12,0.105243433,0.12,-0.05654871,0.12,-0.059690305,0.12,-0.02513276
0.13,-0.067544293,0.13,0.045553128,0.13,-0.01884957,0.13,0.078539875,0.13,-0.06911509,0.13,-0.040840735,0.13,0.045553128,0.13,0.078539875,0.13,-0.054977913,0.13,-0.09424785,0.13,2.60E-18,0.13,-0.097389445,0.13,-0.01884957,0.13,-0.053407115,0.13,0.061261103,0.13,-0.061261103,0.13,-0.054977913,0.13,-0.120951408,0.13,0.108385028,0.13,-0.058119508,0.13,-0.064402698,0.13,-0.028274355
0.14,-0.06911509,0.14,0.05026552,0.14,-0.01884957,0.14,0.083252268,0.14,-0.073827483,0.14,-0.039269938,0.14,0.05026552,0.14,0.08168147,0.14,-0.061261103,0.14,-0.097389445,0.14,0.003141595,0.14,-0.103672635,0.14,-0.021991165,0.14,-0.05654871,0.14,0.064402698,0.14,-0.065973495,0.14,-0.059690305,0.14,-0.127234598,0.14,0.111526623,0.14,-0.059690305,0.14,-0.06911509,0.14,-0.03141595
0.15,-0.072256685,0.15,0.053407115,0.15,-0.01884957,0.15,0.08796466,0.15,-0.080110673,0.15,-0.039269938,0.15,0.054977913,0.15,0.084823065,0.15,-0.065973495,0.15,-0.10053104,0.15,0.00628319,0.15,-0.109955825,0.15,-0.02513276,0.15,-0.059690305,0.15,0.067544293,0.15,-0.070685888,0.15,-0.064402698,0.15,-0.133517788,0.15,0.11309742,0.15,-0.061261103,0.15,-0.073827483,0.15,-0.036128343
0.16,-0.07539828,0.16,0.05654871,0.16,-0.01884957,0.16,0.092677053,0.16,-0.084823065,0.16,-0.03769914,0.16,0.059690305,0.16,0.089535458,0.16,-0.072256685,0.16,-0.103672635,0.16,0.009424785,0.16,-0.116239015,0.16,-0.029845153,0.16,-0.061261103,0.16,0.070685888,0.16,-0.07539828,0.16,-0.06911509,0.16,-0.13823018,0.16,0.114668218,0.16,-0.0628319,0.16,-0.078539875,0.16,-0.039269938
0.17,-0.076969078,0.17,0.059690305,0.17,-0.01884957,0.17,0.097389445,0.17,-0.091106255,0.17,-0.036128343,0.17,0.0628319,0.17,0.092677053,0.17,-0.078539875,0.17,-0.10681423,0.17,0.01256638,0.17,-0.122522205,0.17,-0.032986748,0.17,-0.064402698,0.17,0.073827483,0.17,-0.078539875,0.17,-0.073827483,0.17,-0.14451337,0.17,0.116239015,0.17,-0.064402698,0.17,-0.083252268,0.17,-0.04398233
0.18,-0.080110673,0.18,0.064402698,0.18,-0.017278773,0.18,0.102101838,0.18,-0.097389445,0.18,-0.032986748,0.18,0.067544293,0.18,0.095818648,0.18,-0.084823065,0.18,-0.109955825,0.18,0.017278773,0.18,-0.128805395,0.18,-0.03769914,0.18,-0.067544293,0.18,0.076969078,0.18,-0.083252268,0.18,-0.078539875,0.18,-0.15079656,0.18,0.117809813,0.18,-0.064402698,0.18,-0.08796466,0.18,-0.048694723
0.19,-0.08168147,0.19,0.06911509,0.19,-0.017278773,0.19,0.10681423,0.19,-0.102101838,0.19,-0.03141595,0.19,0.072256685,0.19,0.098960243,0.19,-0.091106255,0.19,-0.111526623,0.19,0.021991165,0.19,-0.135088585,0.19,-0.042411533,0.19,-0.070685888,0.19,0.080110673,0.19,-0.08796466,0.19,-0.083252268,0.19,-0.155508953,0.19,0.117809813,0.19,-0.065973495,0.19,-0.092677053,0.19,-0.051836318
0.2,-0.083252268,0.2,0.072256685,0.2,-0.017278773,0.2,0.111526623,0.2,-0.108385028,0.2,-0.028274355,0.2,0.076969078,0.2,0.10053104,0.2,-0.097389445,0.2,-0.114668218,0.2,0.026703558,0.2,-0.141371775,0.2,-0.047123925,0.2,-0.073827483,0.2,0.083252268,0.2,-0.092677053,0.2,-0.089535458,0.2,-0.160221345,0.2,0.11938061,0.2,-0.065973495,0.2,-0.097389445,0.2,-0.05654871
0.21,-0.084823065,0.21,0.076969078,0.21,-0.015707975,0.21,0.116239015,0.21,-0.11309742,0.21,-0.026703558,0.21,0.08168147,0.21,0.103672635,0.21,-0.103672635,0.21,-0.116239015,0.21,0.03141595,0.21,-0.147654965,0.21,-0.05026552,0.21,-0.076969078,0.21,0.086393863,0.21,-0.097389445,0.21,-0.09424785,0.21,-0.164933738,0.21,0.11938061,0.21,-0.067544293,0.21,-0.102101838,0.21,-0.061261103
0.22,-0.08796466,0.22,0.08168147,0.22,-0.014137178,0.22,0.120951408,0.22,-0.11938061,0.22,-0.023561963,0.22,0.08796466,0.22,0.10681423,0.22,-0.109955825,0.22,-0.117809813,0.22,0.036128343,0.22,-0.153938155,0.22,-0.054977913,0.22,-0.080110673,0.22,0.089535458,0.22,-0.10053104,0.22,-0.098960243,0.22,-0.16964613,0.22,0.117809813,0.22,-0.067544293,0.22,-0.108385028,0.22,-0.065973495
0.23,-0.089535458,0.23,0.086393863,0.23,-0.014137178,0.23,0.124093003,0.23,-0.124093003,0.23,-0.020420368,0.23,0.092677053,0.23,0.108385028,0.23,-0.116239015,0.23,-0.11938061,0.23,0.040840735,0.23,-0.160221345,0.23,-0.059690305,0.23,-0.08168147,0.23,0.092677053,0.23,-0.105243433,0.23,-0.103672635,0.23,-0.174358523,0.23,0.117809813,0.23,-0.067544293,0.23,-0.11309742,0.23,-0.070685888
0.24,-0.091106255,0.24,0.089535458,0.24,-0.01256638,0.24,0.128805395,0.24,-0.130376193,0.24,-0.015707975,0.24,0.097389445,0.24,0.111526623,0.24,-0.122522205,0.24,-0.11938061,0.24,0.045553128,0.24,-0.166504535,0.24,-0.064402698,0.24,-0.084823065,0.24,0.09424785,0.24,-0.109955825,0.24,-0.108385028,0.24,-0.177500118,0.24,0.116239015,0.24,-0.067544293,0.24,-0.117809813,0.24,-0.076969078
0.25,-0.091106255,0.25,0.09424785,0.25,-0.01256638,0.25,0.133517788,0.25,-0.136659383,0.25,-0.01256638,0.25,0.102101838,0.25,0.11309742,0.25,-0.128805395,0.25,-0.120951408,0.25,0.051836318,0.25,-0.171216928,0.25,-0.070685888,0.25,-0.08796466,0.25,0.097389445,0.25,-0.11309742,0.25,-0.114668218,0.25,-0.180641713,0.25,0.114668218,0.25,-0.067544293,0.25,-0.122522205,0.25,-0.08168147
0.26,-0.092677053,0.26,0.098960243,0.26,-0.010995583,0.26,0.13823018,0.26,-0.141371775,0.26,-0.009424785,0.26,0.10681423,0.26,0.114668218,0.26,-0.135088585,0.26,-0.120951408,0.26,0.05654871,0.26,-0.177500118,0.26,-0.07539828,0.26,-0.091106255,0.26,0.10053104,0.26,-0.117809813,0.26,-0.11938061,0.26,-0.183783308,0.26,0.11309742,0.26,-0.067544293,0.26,-0.127234598,0.26,-0.086393863
0.27,-0.09424785,0.27,0.102101838,0.27,-0.009424785,0.27,0.141371775,0.27,-0.147654965,0.27,-0.004712393,0.27,0.111526623,0.27,0.116239015,0.27,-0.141371775,0.27,-0.120951408,0.27,0.0628319,0.27,-0.18221251,0.27,-0.080110673,0.27,-0.092677053,0.27,0.103672635,0.27,-0.120951408,0.27,-0.124093003,0.27,-0.186924903,0.27,0.109955825,0.27,-0.067544293,0.27,-0.13194699,0.27,-0.092677053
0.28,-0.095818648,0.28,0.10681423,0.28,-0.007853988,0.28,0.146084168,0.28,-0.153938155,0.28,-5.20E-18,0.28,0.116239015,0.28,0.117809813,0.28,-0.147654965,0.28,-0.120951408,0.28,0.067544293,0.28,-0.186924903,0.28,-0.084823065,0.28,-0.095818648,0.28,0.105243433,0.28,-0.1256638,0.28,-0.128805395,0.28,-0.190066498,0.28,0.108385028,0.28,-0.067544293,0.28,-0.136659383,0.28,-0.097389445
0.29,-0.095818648,0.29,0.111526623,0.29,-0.00628319,0.29,0.149225763,0.29,-0.158650548,0.29,0.004712393,0.29,0.122522205,0.29,0.11938061,0.29,-0.153938155,0.29,-0.120951408,0.29,0.073827483,0.29,-0.191637295,0.29,-0.089535458,0.29,-0.097389445,0.29,0.108385028,0.29,-0.128805395,0.29,-0.133517788,0.29,-0.193208093,0.29,0.105243433,0.29,-0.065973495,0.29,-0.142942573,0.29,-0.102101838
0.3,-0.097389445,0.3,0.116239015,0.3,-0.004712393,0.3,0.153938155,0.3,-0.164933738,0.3,0.009424785,0.3,0.127234598,0.3,0.11938061,0.3,-0.160221345,0.3,-0.120951408,0.3,0.078539875,0.3,-0.196349688,0.3,-0.09424785,0.3,-0.10053104,0.3,0.109955825,0.3,-0.13194699,0.3,-0.136659383,0.3,-0.19477889,0.3,0.102101838,0.3,-0.065973495,0.3,-0.147654965,0.3,-0.108385028
0.31,-0.097389445,0.31,0.11938061,0.31,-0.003141595,0.31,0.15707975,0.31,-0.16964613,0.31,0.014137178,0.31,0.13194699,0.31,0.120951408,0.31,-0.166504535,0.31,-0.120951408,0.31,0.084823065,0.31,-0.20106208,0.31,-0.098960243,0.31,-0.102101838,0.31,0.11309742,0.31,-0.135088585,0.31,-0.141371775,0.31,-0.196349688,0.31,0.097389445,0.31,-0.064402698,0.31,-0.152367358,0.31,-0.114668218
0.32,-0.097389445,0.32,0.124093003,0.32,-0.001570798,0.32,0.160221345,0.32,-0.174358523,0.32,0.01884957,0.32,0.136659383,0.32,0.120951408,0.32,-0.172787725,0.32,-0.11938061,0.32,0.091106255,0.32,-0.204203675,0.32,-0.103672635,0.32,-0.105243433,0.32,0.114668218,0.32,-0.13823018,0.32,-0.146084168,0.32,-0.197920485,0.32,0.09424785,0.32,-0.064402698,0.32,-0.15707975,0.32,-0.11938061
0.33,-0.097389445,0.33,0.128805395,0.33,-4.34E-19,0.33,0.164933738,0.33,-0.179070915,0.33,0.023561963,0.33,0.141371775,0.33,0.122522205,0.33,-0.179070915,0.33,-0.117809813,0.33,0.095818648,0.33,-0.208916068,0.33,-0.108385028,0.33,-0.10681423,0.33,0.116239015,0.33,-0.141371775,0.33,-0.149225763,0.33,-0.197920485,0.33,0.089535458,0.33,-0.0628319,0.33,-0.161792143,0.33,-0.1256638
0.34,-0.097389445,0.34,0.13194699,0.34,0.001570798,0.34,0.168075333,0.34,-0.185354105,0.34,0.029845153,0.34,0.146084168,0.34,0.122522205,0.34,-0.183783308,0.34,-0.116239015,0.34,0.102101838,0.34,-0.212057663,0.34,-0.11309742,0.34,-0.109955825,0.34,0.117809813,0.34,-0.142942573,0.34,-0.153938155,0.34,-0.199491283,0.34,0.084823065,0.34,-0.061261103,0.34,-0.166504535,0.34,-0.130376193
0.35,-0.097389445,0.35,0.136659383,0.35,0.003141595,0.35,0.171216928,0.35,-0.190066498,0.35,0.034557545,0.35,0.15079656,0.35,0.122522205,0.35,-0.190066498,0.35,-0.114668218,0.35,0.10681423,0.35,-0.215199258,0.35,-0.117809813,0.35,-0.111526623,0.35,0.120951408,0.35,-0.146084168,0.35,-0.15707975,0.35,-0.199491283,0.35,0.080110673,0.35,-0.059690305,0.35,-0.171216928,0.35,-0.136659383
0.36,-0.097389445,0.36,0.141371775,0.36,0.00628319,0.36,0.172787725,0.36,-0.19477889,0.36,0.040840735,0.36,0.155508953,0.36,0.122522205,0.36,-0.19477889,0.36,-0.111526623,0.36,0.11309742,0.36,-0.216770055,0.36,-0.120951408,0.36,-0.11309742,0.36,0.122522205,0.36,-0.147654965,0.36,-0.160221345,0.36,-0.199491283,0.36,0.07539828,0.36,-0.058119508,0.36,-0.174358523,0.36,-0.141371775
0.37,-0.097389445,0.37,0.14451337,0.37,0.007853988,0.37,0.17592932,0.37,-0.199491283,0.37,0.045553128,0.37,0.158650548,0.37,0.122522205,0.37,-0.20106208,0.37,-0.109955825,0.37,0.117809813,0.37,-0.21991165,0.37,-0.1256638,0.37,-0.114668218,0.37,0.124093003,0.37,-0.15079656,0.37,-0.16336294,0.37,-0.197920485,0.37,0.06911509,0.37,-0.05654871,0.37,-0.179070915,0.37,-0.147654965
0.38,-0.097389445,0.38,0.149225763,0.38,0.009424785,0.38,0.179070915,0.38,-0.204203675,0.38,0.051836318,0.38,0.16336294,0.38,0.120951408,0.38,-0.205774473,0.38,-0.10681423,0.38,0.124093003,0.38,-0.221482448,0.38,-0.130376193,0.38,-0.116239015,0.38,0.124093003,0.38,-0.152367358,0.38,-0.166504535,0.38,-0.197920485,0.38,0.064402698,0.38,-0.053407115,0.38,-0.183783308,0.38,-0.153938155
0.39,-0.095818648,0.39,0.152367358,0.39,0.010995583,0.39,0.18221251,0.39,-0.208916068,0.39,0.05654871,0.39,0.168075333,0.39,0.120951408,0.39,-0.210486865,0.39,-0.103672635,0.39,0.128805395,0.39,-0.223053245,0.39,-0.133517788,0.39,-0.117809813,0.39,0.1256638,0.39,-0.153938155,0.39,-0.16964613,0.39,-0.196349688,0.39,0.058119508,0.39,-0.051836318,0.39,-0.186924903,0.39,-0.158650548
0.4,-0.095818648,0.4,0.155508953,0.4,0.014137178,0.4,0.183783308,0.4,-0.212057663,0.4,0.0628319,0.4,0.171216928,0.4,0.11938061,0.4,-0.215199258,0.4,-0.10053104,0.4,0.133517788,0.4,-0.224624043,0.4,-0.13823018,0.4,-0.11938061,0.4,0.127234598,0.4,-0.153938155,0.4,-0.171216928,0.4,-0.19477889,0.4,0.051836318,0.4,-0.048694723,0.4,-0.191637295,0.4,-0.164933738
0.41,-0.09424785,0.41,0.160221345,0.41,0.015707975,0.41,0.185354105,0.41,-0.216770055,0.41,0.06911509,0.41,0.17592932,0.41,0.117809813,0.41,-0.218340853,0.41,-0.097389445,0.41,0.139800978,0.41,-0.224624043,0.41,-0.141371775,0.41,-0.120951408,0.41,0.128805395,0.41,-0.155508953,0.41,-0.174358523,0.41,-0.193208093,0.41,0.045553128,0.41,-0.047123925,0.41,-0.19477889,0.41,-0.16964613
0.42,-0.09424785,0.42,0.16336294,0.42,0.01884957,0.42,0.1884957,0.42,-0.21991165,0.42,0.07539828,0.42,0.179070915,0.42,0.117809813,0.42,-0.223053245,0.42,-0.09424785,0.42,0.142942573,0.42,-0.22619484,0.42,-0.14451337,0.42,-0.122522205,0.42,0.128805395,0.42,-0.155508953,0.42,-0.17592932,0.42,-0.190066498,0.42,0.039269938,0.42,-0.04398233,0.42,-0.199491283,0.42,-0.17592932
0.43,-0.092677053,0.43,0.168075333,0.43,0.020420368,0.43,0.190066498,0.43,-0.224624043,0.43,0.080110673,0.43,0.183783308,0.43,0.116239015,0.43,-0.22619484,0.43,-0.091106255,0.43,0.147654965,0.43,-0.22619484,0.43,-0.147654965,0.43,-0.124093003,0.43,0.130376193,0.43,-0.15707975,0.43,-0.177500118,0.43,-0.186924903,0.43,0.032986748,0.43,-0.042411533,0.43,-0.202632878,0.43,-0.180641713
0.44,-0.091106255,0.44,0.171216928,0.44,0.021991165,0.44,0.191637295,0.44,-0.227765638,0.44,0.086393863,0.44,0.186924903,0.44,0.11309742,0.44,-0.229336435,0.44,-0.086393863,0.44,0.152367358,0.44,-0.22619484,0.44,-0.15079656,0.44,-0.1256638,0.44,0.130376193,0.44,-0.15707975,0.44,-0.179070915,0.44,-0.183783308,0.44,0.026703558,0.44,-0.039269938,0.44,-0.205774473,0.44,-0.185354105
0.45,-0.089535458,0.45,0.172787725,0.45,0.02513276,0.45,0.193208093,0.45,-0.230907233,0.45,0.092677053,0.45,0.190066498,0.45,0.111526623,0.45,-0.23247803,0.45,-0.083252268,0.45,0.15707975,0.45,-0.224624043,0.45,-0.153938155,0.45,-0.1256638,0.45,0.13194699,0.45,-0.15707975,0.45,-0.180641713,0.45,-0.180641713,0.45,0.020420368,0.45,-0.036128343,0.45,-0.208916068,0.45,-0.191637295
0.46,-0.08796466,0.46,0.177500118,0.46,0.026703558,0.46,0.19477889,0.46,-0.234048828,0.46,0.097389445,0.46,0.193208093,0.46,0.109955825,0.46,-0.235619625,0.46,-0.078539875,0.46,0.160221345,0.46,-0.223053245,0.46,-0.155508953,0.46,-0.127234598,0.46,0.13194699,0.46,-0.15707975,0.46,-0.180641713,0.46,-0.177500118,0.46,0.014137178,0.46,-0.032986748,0.46,-0.212057663,0.46,-0.196349688
0.47,-0.086393863,0.47,0.180641713,0.47,0.029845153,0.47,0.19477889,0.47,-0.237190423,0.47,0.103672635,0.47,0.196349688,0.47,0.10681423,0.47,-0.23876122,0.47,-0.073827483,0.47,0.164933738,0.47,-0.223053245,0.47,-0.158650548,0.47,-0.127234598,0.47,0.13194699,0.47,-0.15707975,0.47,-0.18221251,0.47,-0.174358523,0.47,0.00628319,0.47,-0.029845153,0.47,-0.215199258,0.47,-0.20106208
0.48,-0.084823065,0.48,0.18221251,0.48,0.03141595,0.48,0.196349688,0.48,-0.240332018,0.48,0.109955825,0.48,0.197920485,0.48,0.105243433,0.48,-0.240332018,0.48,-0.06911509,0.48,0.168075333,0.48,-0.221482448,0.48,-0.160221345,0.48,-0.128805395,0.48,0.13194699,0.48,-0.155508953,0.48,-0.18221251,0.48,-0.16964613,0.48,-8.67E-19,0.48,-0.026703558,0.48,-0.218340853,0.48,-0.205774473
0.49,-0.083252268,0.49,0.185354105,0.49,0.034557545,0.49,0.196349688,0.49,-0.241902815,0.49,0.114668218,0.49,0.20106208,0.49,0.102101838,0.49,-0.241902815,0.49,-0.064402698,0.49,0.171216928,0.49,-0.218340853,0.49,-0.161792143,0.49,-0.128805395,0.49,0.13194699,0.49,-0.153938155,0.49,-0.18221251,0.49,-0.164933738,0.49,-0.00628319,0.49,-0.023561963,0.49,-0.21991165,0.49,-0.210486865
0.5,-0.080110673,0.5,0.1884957,0.5,0.036128343,0.5,0.196349688,0.5,-0.24504441,0.5,0.120951408,0.5,0.202632878,0.5,0.098960243,0.5,-0.243473613,0.5,-0.061261103,0.5,0.174358523,0.5,-0.216770055,0.5,-0.16336294,0.5,-0.128805395,0.5,0.13194699,0.5,-0.153938155,0.5,-0.18221251,0.5,-0.160221345,0.5,-0.01256638,0.5,-0.020420368,0.5,-0.223053245,0.5,-0.215199258
0.51,-0.078539875,0.51,0.191637295,0.51,0.039269938,0.51,0.197920485,0.51,-0.246615208,0.51,0.1256638,0.51,0.205774473,0.51,0.097389445,0.51,-0.24504441,0.51,-0.054977913,0.51,0.17592932,0.51,-0.21362846,0.51,-0.164933738,0.51,-0.130376193,0.51,0.13194699,0.51,-0.152367358,0.51,-0.180641713,0.51,-0.155508953,0.51,-0.020420368,0.51,-0.017278773,0.51,-0.224624043,0.51,-0.21991165
0.52,-0.076969078,0.52,0.193208093,0.52,0.040840735,0.52,0.197920485,0.52,-0.248186005,0.52,0.13194699,0.52,0.20734527,0.52,0.09424785,0.52,-0.24504441,0.52,-0.05026552,0.52,0.179070915,0.52,-0.210486865,0.52,-0.166504535,0.52,-0.130376193,0.52,0.13194699,0.52,-0.15079656,0.52,-0.180641713,0.52,-0.149225763,0.52,-0.026703558,0.52,-0.014137178,0.52,-0.22619484,0.52,-0.224624043
0.53,-0.073827483,0.53,0.19477889,0.53,0.04398233,0.53,0.197920485,0.53,-0.249756803,0.53,0.136659383,0.53,0.208916068,0.53,0.091106255,0.53,-0.24504441,0.53,-0.045553128,0.53,0.180641713,0.53,-0.20734527,0.53,-0.166504535,0.53,-0.130376193,0.53,0.13194699,0.53,-0.147654965,0.53,-0.179070915,0.53,-0.14451337,0.53,-0.032986748,0.53,-0.010995583,0.53,-0.227765638,0.53,-0.227765638
0.54,-0.070685888,0.54,0.196349688,0.54,0.045553128,0.54,0.196349688,0.54,-0.2513276,0.54,0.141371775,0.54,0.210486865,0.54,0.08796466,0.54,-0.246615208,0.54,-0.040840735,0.54,0.18221251,0.54,-0.202632878,0.54,-0.166504535,0.54,-0.130376193,0.54,0.130376193,0.54,-0.146084168,0.54,-0.177500118,0.54,-0.13823018,0.54,-0.039269938,0.54,-0.00628319,0.54,-0.229336435,0.54,-0.23247803
0.55,-0.06911509,0.55,0.199491283,0.55,0.048694723,0.55,0.196349688,0.55,-0.252898398,0.55,0.146084168,0.55,0.210486865,0.55,0.083252268,0.55,-0.24504441,0.55,-0.036128343,0.55,0.183783308,0.55,-0.199491283,0.55,-0.166504535,0.55,-0.130376193,0.55,0.130376193,0.55,-0.14451337,0.55,-0.17592932,0.55,-0.133517788,0.55,-0.045553128,0.55,-0.003141595,0.55,-0.230907233,0.55,-0.235619625
0.56,-0.065973495,0.56,0.20106208,0.56,0.05026552,0.56,0.196349688,0.56,-0.252898398,0.56,0.15079656,0.56,0.212057663,0.56,0.080110673,0.56,-0.24504441,0.56,-0.03141595,0.56,0.185354105,0.56,-0.19477889,0.56,-0.166504535,0.56,-0.128805395,0.56,0.128805395,0.56,-0.141371775,0.56,-0.174358523,0.56,-0.127234598,0.56,-0.051836318,0.56,6.94E-18,0.56,-0.23247803,0.56,-0.240332018
